time_index	left_time_boundary	right_time_boundary	lambda_00	Ne.high	LeftYears.high	RightYears.high	Left_generations.high	Right_generations.high	Ne.reasonable	LeftYears.reasonable	RightYears.reasonable	Left_generations.reasonable	Right_generations.reasonable	Ne.low	LeftYears.low	RightYears.low	Left_generations.low	Right_generations.low
11	4.1401e-05	4.59187e-05	9258.01	1804.93978966174	13836.3389180999	15346.1678674078	1383.63389180999	1534.61678674078	6247.86850267524	19158.0077327536	21248.5401241032	4789.50193318841	5312.13503102579	17441.966236635	26741.3857936353	29659.420589894	13370.6928968176	14829.710294947
12	4.59187e-05	5.06007e-05	10371.2	1611.20705627953	15346.1678674078	16910.90637166	1534.61678674078	1691.090637166	5577.25519481375	21248.5401241032	23415.1011299907	5312.13503102579	5853.77528249769	15569.837418855	29659.420589894	32683.5786606121	14829.710294947	16341.789330306
13	5.06007e-05	5.54594e-05	10371.2	1611.20705627953	16910.90637166	18534.6985482106	1691.090637166	1853.46985482106	5577.25519481375	23415.1011299907	25663.4287590608	5853.77528249769	6415.85718976521	15569.837418855	32683.5786606121	35821.8693095224	16341.789330306	17910.9346547612
14	5.54594e-05	6.05087e-05	11688.1	1429.67211284009	18534.6985482106	20222.1898189326	1853.46985482106	2022.21898189326	4948.86500598492	25663.4287590608	27999.9551339067	6415.85718976521	6999.98878347667	13815.5814750412	35821.8693095224	39083.2707077447	17910.9346547612	19541.6353538724
15	6.05087e-05	6.57642e-05	11688.1	1429.67211284009	20222.1898189326	21978.5937508201	2022.21898189326	2197.85937508201	4948.86500598492	27999.9551339067	30431.899039597	6999.98878347667	7607.97475989926	13815.5814750412	39083.2707077447	42477.8590761042	19541.6353538724	21238.9295380521
16	6.57642e-05	7.12434e-05	12854.4	1299.95570560168	21978.5937508201	23809.7588965908	2197.85937508201	2380.97588965908	4499.84667323659	30431.899039597	32967.3584722026	7607.97475989926	8241.83961805065	12562.0719627855	42477.8590761042	46016.9378674495	21238.9295380521	23008.4689337247
17	7.12434e-05	7.69661e-05	12854.4	1299.95570560168	23809.7588965908	25722.3024758911	2380.97588965908	2572.23024758911	4499.84667323659	32967.3584722026	35615.4957358491	8241.83961805065	8903.87393396228	12562.0719627855	46016.9378674495	49713.2961312894	23008.4689337247	24856.6480656447
18	7.69661e-05	8.29552e-05	13621	1226.79323266179	25722.3024758911	27723.8777377058	2572.23024758911	2772.38777377058	4246.59195921389	35615.4957358491	38386.9076368234	8903.87393396228	9596.72690920584	11855.0692194721	49713.2961312894	53581.7252430659	24856.6480656447	26790.862621533
19	8.29552e-05	8.92364e-05	13621	1226.79323266179	27723.8777377058	29823.0736994547	2772.38777377058	2982.30736994547	4246.59195921389	38386.9076368234	41293.4866607835	9596.72690920584	10323.3716651959	11855.0692194721	53581.7252430659	57638.8251306769	26790.862621533	28819.4125653385
20	8.92364e-05	9.584e-05	13807.5	1210.22275010583	29823.0736994547	32030.0167124149	2982.30736994547	3203.00167124149	4189.23259652018	41293.4866607835	44349.2539094976	10323.3716651959	11087.3134773744	11694.9409986188	57638.8251306769	61904.1669153403	28819.4125653385	30952.0834576702
