time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	7.71166e-06	25173.6
1	7.71166e-06	1.56236e-05	23869.5
2	1.56236e-05	2.37466e-05	9035.81
3	2.37466e-05	3.20922e-05	5331.36
4	3.20922e-05	4.06729e-05	3903.51
5	4.06729e-05	4.95023e-05	3260.9
6	4.95023e-05	5.85954e-05	2955.81
7	5.85954e-05	6.79682e-05	2817.81
8	6.79682e-05	7.76387e-05	2759.34
9	7.76387e-05	8.76263e-05	2734.15
10	8.76263e-05	9.79525e-05	2720.92
11	9.79525e-05	0.000108641	2720.92
12	0.000108641	0.000119719	2732.71
13	0.000119719	0.000131214	2732.71
14	0.000131214	0.00014316	2784.29
15	0.00014316	0.000155595	2784.29
16	0.000155595	0.000168558	2863.62
17	0.000168558	0.000182098	2863.62
18	0.000182098	0.000196267	2950.26
19	0.000196267	0.000211129	2950.26
20	0.000211129	0.000226752	3028.22
21	0.000226752	0.000243221	3028.22
22	0.000243221	0.000260631	3085.05
23	0.000260631	0.000279097	3085.05
24	0.000279097	0.000298755	3103.54
25	0.000298755	0.00031977	3103.54
26	0.00031977	0.000342343	3053.93
27	0.000342343	0.000366723	3053.93
28	0.000366723	0.000393226	2890.65
29	0.000393226	0.000422257	2890.65
30	0.000422257	0.00045435	2556.22
31	0.00045435	0.000490226	2556.22
32	0.000490226	0.000530898	2004.24
33	0.000530898	0.000577852	2004.24
34	0.000577852	0.000633386	1268.9
35	0.000633386	0.000701354	1268.9
36	0.000701354	0.000788981	552.138
37	0.000788981	0.000912483	552.138
38	0.000912483	0.00112361	214.765
39	0.00112361	inf	214.765
