time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	7.17535e-06	26417.2
1	7.17535e-06	1.45371e-05	27401.7
2	1.45371e-05	2.20952e-05	10400.2
3	2.20952e-05	2.98604e-05	6048.76
4	2.98604e-05	3.78443e-05	4365.37
5	3.78443e-05	4.60597e-05	3581.53
6	4.60597e-05	5.45204e-05	3174.73
7	5.45204e-05	6.32414e-05	2954.25
8	6.32414e-05	7.22394e-05	2836.31
9	7.22394e-05	8.15324e-05	2778.19
10	8.15324e-05	9.11404e-05	2756.07
11	9.11404e-05	0.000101086	2756.07
12	0.000101086	0.000111393	2777.94
13	0.000111393	0.000122089	2777.94
14	0.000122089	0.000133204	2831.79
15	0.000133204	0.000144774	2831.79
16	0.000144774	0.000156836	2906.5
17	0.000156836	0.000169434	2906.5
18	0.000169434	0.000182618	2992.59
19	0.000182618	0.000196446	2992.59
20	0.000196446	0.000210983	3076.76
21	0.000210983	0.000226306	3076.76
22	0.000226306	0.000242505	3141.66
23	0.000242505	0.000259687	3141.66
24	0.000259687	0.000277978	3163.64
25	0.000277978	0.000297531	3163.64
26	0.000297531	0.000318535	3111.09
27	0.000318535	0.00034122	3111.09
28	0.00034122	0.00036588	2945.29
29	0.00036588	0.000392892	2945.29
30	0.000392892	0.000422752	2621.9
31	0.000422752	0.000456133	2621.9
32	0.000456133	0.000493977	2100.65
33	0.000493977	0.000537665	2100.65
34	0.000537665	0.000589337	1391.86
35	0.000589337	0.000652579	1391.86
36	0.000652579	0.000734111	649.139
37	0.000734111	0.000849024	649.139
38	0.000849024	0.00104547	265.215
39	0.00104547	inf	265.215
