time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	7.32796e-06	27078
1	7.32796e-06	1.48463e-05	25463.2
2	1.48463e-05	2.25651e-05	9283.9
3	2.25651e-05	3.04955e-05	5324.65
4	3.04955e-05	3.86492e-05	3903.73
5	3.86492e-05	4.70393e-05	3278.83
6	4.70393e-05	5.56799e-05	2974.11
7	5.56799e-05	6.45865e-05	2823.38
8	6.45865e-05	7.37758e-05	2751.15
9	7.37758e-05	8.32664e-05	2720.63
10	8.32664e-05	9.30789e-05	2720.66
11	9.30789e-05	0.000103236	2720.66
12	0.000103236	0.000113762	2765.41
13	0.000113762	0.000124685	2765.41
14	0.000124685	0.000136037	2839.65
15	0.000136037	0.000147853	2839.65
16	0.000147853	0.000160171	2916.45
17	0.000160171	0.000173037	2916.45
18	0.000173037	0.000186502	2979.41
19	0.000186502	0.000200624	2979.41
20	0.000200624	0.00021547	3025.1
21	0.00021547	0.000231119	3025.1
22	0.000231119	0.000247663	3052.58
23	0.000247663	0.00026521	3052.58
24	0.00026521	0.00028389	3050.86
25	0.00028389	0.00030386	3050.86
26	0.00030386	0.000325309	2991.89
27	0.000325309	0.000348477	2991.89
28	0.000348477	0.000373661	2831.74
29	0.000373661	0.000401248	2831.74
30	0.000401248	0.000431743	2517.86
31	0.000431743	0.000465834	2517.86
32	0.000465834	0.000504483	2009.08
33	0.000504483	0.000549101	2009.08
34	0.000549101	0.000601872	1326.83
35	0.000601872	0.000666458	1326.83
36	0.000666458	0.000749725	626.029
37	0.000749725	0.000867082	626.029
38	0.000867082	0.00106771	262.804
39	0.00106771	inf	262.804
