time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	6.97897e-06	27321.3
1	6.97897e-06	1.41392e-05	28622.9
2	1.41392e-05	2.14905e-05	9552.99
3	2.14905e-05	2.90431e-05	5659.9
4	2.90431e-05	3.68086e-05	4248.09
5	3.68086e-05	4.47991e-05	3565.64
6	4.47991e-05	5.30282e-05	3196.87
7	5.30282e-05	6.15106e-05	2999.33
8	6.15106e-05	7.02622e-05	2898.81
9	7.02622e-05	7.93009e-05	2850.41
10	7.93009e-05	8.8646e-05	2827.9
11	8.8646e-05	9.83191e-05	2827.9
12	9.83191e-05	0.000108344	2838.98
13	0.000108344	0.000118747	2838.98
14	0.000118747	0.000129559	2875.95
15	0.000129559	0.000140811	2875.95
16	0.000140811	0.000152543	2922.14
17	0.000152543	0.000164797	2922.14
18	0.000164797	0.00017762	2970.9
19	0.00017762	0.000191069	2970.9
20	0.000191069	0.000205208	3022.77
21	0.000205208	0.000220112	3022.77
22	0.000220112	0.000235868	3074.3
23	0.000235868	0.00025258	3074.3
24	0.00025258	0.00027037	3109.11
25	0.00027037	0.000289388	3109.11
26	0.000289388	0.000309817	3093.67
27	0.000309817	0.000331881	3093.67
28	0.000331881	0.000355866	2976.63
29	0.000355866	0.000382139	2976.63
30	0.000382139	0.000411182	2693.71
31	0.000411182	0.000443649	2693.71
32	0.000443649	0.000480458	2186.17
33	0.000480458	0.00052295	2186.17
34	0.00052295	0.000573208	1461.95
35	0.000573208	0.000634718	1461.95
36	0.000634718	0.000714019	693.118
37	0.000714019	0.000825788	693.118
38	0.000825788	0.00101686	291.792
39	0.00101686	inf	291.792
