time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	7.77515e-06	23513.3
1	7.77515e-06	1.57523e-05	23388.3
2	1.57523e-05	2.39422e-05	8338.08
3	2.39422e-05	3.23564e-05	5098.47
4	3.23564e-05	4.10078e-05	3828.32
5	4.10078e-05	4.99099e-05	3251.45
6	4.99099e-05	5.90778e-05	2997.38
7	5.90778e-05	6.85279e-05	2888.16
8	6.85279e-05	7.8278e-05	2833.27
9	7.8278e-05	8.83478e-05	2797.35
10	8.83478e-05	9.8759e-05	2765.19
11	9.8759e-05	0.000109536	2765.19
12	0.000109536	0.000120704	2764.22
13	0.000120704	0.000132294	2764.22
14	0.000132294	0.000144339	2805.6
15	0.000144339	0.000156876	2805.6
16	0.000156876	0.000169946	2864.59
17	0.000169946	0.000183597	2864.59
18	0.000183597	0.000197883	2923.68
19	0.000197883	0.000212867	2923.68
20	0.000212867	0.000228619	2976.55
21	0.000228619	0.000245223	2976.55
22	0.000245223	0.000262777	3019.18
23	0.000262777	0.000281395	3019.18
24	0.000281395	0.000301215	3039.2
25	0.000301215	0.000322403	3039.2
26	0.000322403	0.000345161	3008.43
27	0.000345161	0.000369743	3008.43
28	0.000369743	0.000396464	2879.85
29	0.000396464	0.000425734	2879.85
30	0.000425734	0.000458091	2587.84
31	0.000458091	0.000494262	2587.84
32	0.000494262	0.00053527	2068.43
33	0.00053527	0.00058261	2068.43
34	0.00058261	0.000638601	1334.79
35	0.000638601	0.000707129	1334.79
36	0.000707129	0.000795477	586.494
37	0.000795477	0.000919996	586.494
38	0.000919996	0.00113286	225.217
39	0.00113286	inf	225.217
