time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	7.5074e-06	24798.9
1	7.5074e-06	1.52098e-05	25196.9
2	1.52098e-05	2.31177e-05	8387.67
3	2.31177e-05	3.12422e-05	4906.53
4	3.12422e-05	3.95956e-05	3718.36
5	3.95956e-05	4.81912e-05	3209.99
6	4.81912e-05	5.70434e-05	2986.68
7	5.70434e-05	6.6168e-05	2896.66
8	6.6168e-05	7.55823e-05	2863.21
9	7.55823e-05	8.53054e-05	2850.24
10	8.53054e-05	9.53581e-05	2845.97
11	9.53581e-05	0.000105764	2845.97
12	0.000105764	0.000116548	2861.35
13	0.000116548	0.000127739	2861.35
14	0.000127739	0.000139369	2902.45
15	0.000139369	0.000151473	2902.45
16	0.000151473	0.000164093	2959.56
17	0.000164093	0.000177275	2959.56
18	0.000177275	0.000191069	3022.21
19	0.000191069	0.000205537	3022.21
20	0.000205537	0.000220746	3081.55
21	0.000220746	0.000236779	3081.55
22	0.000236779	0.000253728	3127.3
23	0.000253728	0.000271705	3127.3
24	0.000271705	0.000290842	3141.97
25	0.000290842	0.0003113	3141.97
26	0.0003113	0.000333275	3094.49
27	0.000333275	0.00035701	3094.49
28	0.00035701	0.000382811	2938.08
29	0.000382811	0.000411073	2938.08
30	0.000411073	0.000442315	2613.78
31	0.000442315	0.000477241	2613.78
32	0.000477241	0.000516837	2071.91
33	0.000516837	0.000562547	2071.91
34	0.000562547	0.00061661	1337.51
35	0.00061661	0.000682778	1337.51
36	0.000682778	0.000768083	599.139
37	0.000768083	0.000888314	599.139
38	0.000888314	0.00109385	238.716
39	0.00109385	inf	238.716
