time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	7.04187e-06	27711.3
1	7.04187e-06	1.42667e-05	27962.5
2	1.42667e-05	2.16842e-05	10312.1
3	2.16842e-05	2.93049e-05	6039.6
4	2.93049e-05	3.71403e-05	4370.15
5	3.71403e-05	4.52029e-05	3560.62
6	4.52029e-05	5.35061e-05	3118.43
7	5.35061e-05	6.20649e-05	2878.21
8	6.20649e-05	7.08955e-05	2760.86
9	7.08955e-05	8.00156e-05	2717.28
10	8.00156e-05	8.9445e-05	2727.12
11	8.9445e-05	9.92053e-05	2727.12
12	9.92053e-05	0.000109321	2788.97
13	0.000109321	0.000119818	2788.97
14	0.000119818	0.000130726	2871.03
15	0.000130726	0.000142081	2871.03
16	0.000142081	0.000153918	2954
17	0.000153918	0.000166282	2954
18	0.000166282	0.000179221	3028.92
19	0.000179221	0.000192791	3028.92
20	0.000192791	0.000207058	3092.69
21	0.000207058	0.000222096	3092.69
22	0.000222096	0.000237994	3139.45
23	0.000237994	0.000254856	3139.45
24	0.000254856	0.000272807	3153.32
25	0.000272807	0.000291997	3153.32
26	0.000291997	0.000312609	3104.13
27	0.000312609	0.000334872	3104.13
28	0.000334872	0.000359073	2946.23
29	0.000359073	0.000385583	2946.23
30	0.000385583	0.000414888	2623.66
31	0.000414888	0.000447648	2623.66
32	0.000447648	0.000484788	2090.59
33	0.000484788	0.000527663	2090.59
34	0.000527663	0.000578374	1368.33
35	0.000578374	0.000640439	1368.33
36	0.000640439	0.000720455	630.555
37	0.000720455	0.00083323	630.555
38	0.00083323	0.00102602	259.478
39	0.00102602	inf	259.478
