time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	7.23323e-06	24979.6
1	7.23323e-06	1.46543e-05	27234.2
2	1.46543e-05	2.22734e-05	8895.95
3	2.22734e-05	3.01012e-05	5392.58
4	3.01012e-05	3.81495e-05	4128.49
5	3.81495e-05	4.64312e-05	3498.53
6	4.64312e-05	5.49601e-05	3163.94
7	5.49601e-05	6.37515e-05	2999.86
8	6.37515e-05	7.2822e-05	2928.05
9	7.2822e-05	8.219e-05	2898.38
10	8.219e-05	9.18755e-05	2879.11
11	9.18755e-05	0.000101901	2879.11
12	0.000101901	0.000112291	2865.47
13	0.000112291	0.000123073	2865.47
14	0.000123073	0.000134279	2873.81
15	0.000134279	0.000145941	2873.81
16	0.000145941	0.000158101	2907.24
17	0.000158101	0.0001708	2907.24
18	0.0001708	0.000184091	2957.81
19	0.000184091	0.00019803	2957.81
20	0.00019803	0.000212685	3015.47
21	0.000212685	0.000228131	3015.47
22	0.000228131	0.000244461	3068.86
23	0.000244461	0.000261782	3068.86
24	0.000261782	0.00028022	3101.58
25	0.00028022	0.000299931	3101.58
26	0.000299931	0.000321104	3084.25
27	0.000321104	0.000343972	3084.25
28	0.000343972	0.000368831	2968.45
29	0.000368831	0.00039606	2968.45
30	0.00039606	0.000426162	2687.39
31	0.000426162	0.000459812	2687.39
32	0.000459812	0.000497961	2176.91
33	0.000497961	0.000542002	2176.91
34	0.000542002	0.000594091	1445.31
35	0.000594091	0.000657842	1445.31
36	0.000657842	0.000740032	672.171
37	0.000740032	0.000855872	672.171
38	0.000855872	0.0010539	274.674
39	0.0010539	inf	274.674
