time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	3.46469e-06	13284.4
1	3.46469e-06	7.01938e-06	19929.1
2	7.01938e-06	1.06689e-05	22162.8
3	1.06689e-05	1.44184e-05	19960.3
4	1.44184e-05	1.82735e-05	15442
5	1.82735e-05	2.22404e-05	11950.3
6	2.22404e-05	2.63257e-05	9999.35
7	2.63257e-05	3.05367e-05	9138.07
8	3.05367e-05	3.48815e-05	8938.76
9	3.48815e-05	3.93687e-05	9132.12
10	3.93687e-05	4.4008e-05	9844.08
11	4.4008e-05	4.88102e-05	9844.08
12	4.88102e-05	5.3787e-05	11069
13	5.3787e-05	5.89517e-05	11069
14	5.89517e-05	6.4319e-05	12270.6
15	6.4319e-05	6.99054e-05	12270.6
16	6.99054e-05	7.57296e-05	13192.7
17	7.57296e-05	8.18127e-05	13192.7
18	8.18127e-05	8.81789e-05	13666.7
19	8.81789e-05	9.48557e-05	13666.7
20	9.48557e-05	0.000101875	13529.6
21	0.000101875	0.000109274	13529.6
22	0.000109274	0.000117096	12666.3
23	0.000117096	0.000125392	12666.3
24	0.000125392	0.000134224	11086.8
25	0.000134224	0.000143666	11086.8
26	0.000143666	0.000153807	8934.13
27	0.000153807	0.000164761	8934.13
28	0.000164761	0.000176668	6476.36
29	0.000176668	0.000189711	6476.36
30	0.000189711	0.00020413	4100.81
31	0.00020413	0.000220248	4100.81
32	0.000220248	0.000238522	2201.44
33	0.000238522	0.000259617	2201.44
34	0.000259617	0.000284567	975.306
35	0.000284567	0.000315104	975.306
36	0.000315104	0.000354473	343.204
37	0.000354473	0.00040996	343.204
38	0.00040996	0.000504815	151.163
39	0.000504815	inf	151.163
