time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	3.26682e-06	14088.5
1	3.26682e-06	6.6185e-06	18856
2	6.6185e-06	1.00596e-05	21727.4
3	1.00596e-05	1.35949e-05	20742.5
4	1.35949e-05	1.72299e-05	17267.6
5	1.72299e-05	2.09702e-05	13994.4
6	2.09702e-05	2.48222e-05	11632.7
7	2.48222e-05	2.87927e-05	10154.4
8	2.87927e-05	3.28894e-05	9375.36
9	3.28894e-05	3.71203e-05	9104.02
10	3.71203e-05	4.14947e-05	9354.79
11	4.14947e-05	4.60226e-05	9354.79
12	4.60226e-05	5.07152e-05	10287
13	5.07152e-05	5.5585e-05	10287
14	5.5585e-05	6.06457e-05	11492.3
15	6.06457e-05	6.59131e-05	11492.3
16	6.59131e-05	7.14046e-05	12587.8
17	7.14046e-05	7.71403e-05	12587.8
18	7.71403e-05	8.31429e-05	13289.1
19	8.31429e-05	8.94385e-05	13289.1
20	8.94385e-05	9.60569e-05	13400.3
21	9.60569e-05	0.000103033	13400.3
22	0.000103033	0.000110409	12813
23	0.000110409	0.000118231	12813
24	0.000118231	0.000126559	11511.6
25	0.000126559	0.000135461	11511.6
26	0.000135461	0.000145023	9582.53
27	0.000145023	0.000155352	9582.53
28	0.000155352	0.000166579	7226.37
29	0.000166579	0.000178877	7226.37
30	0.000178877	0.000192472	4782.4
31	0.000192472	0.00020767	4782.4
32	0.00020767	0.0002249	2678.95
33	0.0002249	0.00024479	2678.95
34	0.00024479	0.000268315	1226.66
35	0.000268315	0.000297108	1226.66
36	0.000297108	0.000334228	439.336
37	0.000334228	0.000386547	439.336
38	0.000386547	0.000475985	189.22
39	0.000475985	inf	189.22
