time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	3.15306e-06	13907.8
1	3.15306e-06	6.38803e-06	19447.5
2	6.38803e-06	9.70928e-06	22511.6
3	9.70928e-06	1.31215e-05	21300
4	1.31215e-05	1.66299e-05	17202.2
5	1.66299e-05	2.024e-05	13522.6
6	2.024e-05	2.39579e-05	11119.2
7	2.39579e-05	2.77901e-05	9774.26
8	2.77901e-05	3.17441e-05	9131.5
9	3.17441e-05	3.58277e-05	8938.65
10	3.58277e-05	4.00498e-05	9197.91
11	4.00498e-05	4.44201e-05	9197.91
12	4.44201e-05	4.89493e-05	10048.8
13	4.89493e-05	5.36494e-05	10048.8
14	5.36494e-05	5.85339e-05	11163.1
15	5.85339e-05	6.36179e-05	11163.1
16	6.36179e-05	6.89182e-05	12235.6
17	6.89182e-05	7.44542e-05	12235.6
18	7.44542e-05	8.02478e-05	13028
19	8.02478e-05	8.63241e-05	13028
20	8.63241e-05	9.27121e-05	13353.4
21	9.27121e-05	9.94456e-05	13353.4
22	9.94456e-05	0.000106564	13067.6
23	0.000106564	0.000114114	13067.6
24	0.000114114	0.000122152	12091.1
25	0.000122152	0.000130744	12091.1
26	0.000130744	0.000139973	10441.2
27	0.000139973	0.000149942	10441.2
28	0.000149942	0.000160778	8235.53
29	0.000160778	0.000172648	8235.53
30	0.000172648	0.00018577	5718.49
31	0.00018577	0.000200438	5718.49
32	0.000200438	0.000217068	3316.25
33	0.000217068	0.000236266	3316.25
34	0.000236266	0.000258972	1517.55
35	0.000258972	0.000286762	1517.55
36	0.000286762	0.00032259	519.307
37	0.00032259	0.000373086	519.307
38	0.000373086	0.000459411	211.289
39	0.000459411	inf	211.289
