time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	3.09691e-06	14323.4
1	3.09691e-06	6.27427e-06	19379.2
2	6.27427e-06	9.53636e-06	22927.8
3	9.53636e-06	1.28878e-05	21985.3
4	1.28878e-05	1.63337e-05	17707.4
5	1.63337e-05	1.98795e-05	13892.6
6	1.98795e-05	2.35312e-05	11401
7	2.35312e-05	2.72952e-05	9966.32
8	2.72952e-05	3.11788e-05	9255.51
9	3.11788e-05	3.51897e-05	9034.29
10	3.51897e-05	3.93366e-05	9327.86
11	3.93366e-05	4.3629e-05	9327.86
12	4.3629e-05	4.80775e-05	10292.3
13	4.80775e-05	5.2694e-05	10292.3
14	5.2694e-05	5.74915e-05	11504.8
15	5.74915e-05	6.24849e-05	11504.8
16	6.24849e-05	6.76909e-05	12584.2
17	6.76909e-05	7.31283e-05	12584.2
18	7.31283e-05	7.88186e-05	13288.7
19	7.88186e-05	8.47867e-05	13288.7
20	8.47867e-05	9.1061e-05	13475.1
21	9.1061e-05	9.76746e-05	13475.1
22	9.76746e-05	0.000104666	13059.1
23	0.000104666	0.000112082	13059.1
24	0.000112082	0.000119976	12007.6
25	0.000119976	0.000128416	12007.6
26	0.000128416	0.000137481	10338.5
27	0.000137481	0.000147272	10338.5
28	0.000147272	0.000157915	8141.83
29	0.000157915	0.000169573	8141.83
30	0.000169573	0.000182461	5654.54
31	0.000182461	0.000196869	5654.54
32	0.000196869	0.000213202	3304.25
33	0.000213202	0.000232058	3304.25
34	0.000232058	0.00025436	1545.29
35	0.00025436	0.000281655	1545.29
36	0.000281655	0.000316845	547.231
37	0.000316845	0.000366442	547.231
38	0.000366442	0.000451229	225.999
39	0.000451229	inf	225.999
