time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	3.27854e-06	14400.8
1	3.27854e-06	6.64224e-06	20788.3
2	6.64224e-06	1.00957e-05	22596.1
3	1.00957e-05	1.36437e-05	21536.2
4	1.36437e-05	1.72917e-05	17313
5	1.72917e-05	2.10454e-05	13487.3
6	2.10454e-05	2.49113e-05	11047.2
7	2.49113e-05	2.8896e-05	9732.23
8	2.8896e-05	3.30074e-05	9146.77
9	3.30074e-05	3.72535e-05	9022.58
10	3.72535e-05	4.16436e-05	9394
11	4.16436e-05	4.61877e-05	9394
12	4.61877e-05	5.08972e-05	10388.7
13	5.08972e-05	5.57844e-05	10388.7
14	5.57844e-05	6.08633e-05	11608
15	6.08633e-05	6.61495e-05	11608
16	6.61495e-05	7.16608e-05	12704.7
17	7.16608e-05	7.74171e-05	12704.7
18	7.74171e-05	8.34412e-05	13408.8
19	8.34412e-05	8.97593e-05	13408.8
20	8.97593e-05	9.64016e-05	13513.3
21	9.64016e-05	0.000103403	13513.3
22	0.000103403	0.000110805	12884.4
23	0.000110805	0.000118655	12884.4
24	0.000118655	0.000127013	11506.2
25	0.000127013	0.000135947	11506.2
26	0.000135947	0.000145544	9508.26
27	0.000145544	0.000155909	9508.26
28	0.000155909	0.000167176	7141.74
29	0.000167176	0.000179519	7141.74
30	0.000179519	0.000193162	4746.7
31	0.000193162	0.000208415	4746.7
32	0.000208415	0.000225706	2698.17
33	0.000225706	0.000245668	2698.17
34	0.000245668	0.000269278	1263.99
35	0.000269278	0.000298174	1263.99
36	0.000298174	0.000335427	464.723
37	0.000335427	0.000387933	464.723
38	0.000387933	0.000477693	200.616
39	0.000477693	inf	200.616
