time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	3.35185e-06	16707.4
1	3.35185e-06	6.79076e-06	21649.4
2	6.79076e-06	1.03214e-05	22598.7
3	1.03214e-05	1.39488e-05	21021.5
4	1.39488e-05	1.76783e-05	16562.1
5	1.76783e-05	2.1516e-05	12864.4
6	2.1516e-05	2.54683e-05	10602.6
7	2.54683e-05	2.95422e-05	9447.36
8	2.95422e-05	3.37454e-05	9017.98
9	3.37454e-05	3.80865e-05	9043.86
10	3.80865e-05	4.25747e-05	9600.34
11	4.25747e-05	4.72205e-05	9600.34
12	4.72205e-05	5.20352e-05	10722
13	5.20352e-05	5.70317e-05	10722
14	5.70317e-05	6.22242e-05	11884.6
15	6.22242e-05	6.76286e-05	11884.6
16	6.76286e-05	7.32631e-05	12764.6
17	7.32631e-05	7.91481e-05	12764.6
18	7.91481e-05	8.53069e-05	13189.6
19	8.53069e-05	9.17663e-05	13189.6
20	9.17663e-05	9.85571e-05	13076.5
21	9.85571e-05	0.000105715	13076.5
22	0.000105715	0.000113282	12374.1
23	0.000113282	0.000121308	12374.1
24	0.000121308	0.000129853	11061.1
25	0.000129853	0.000138987	11061.1
26	0.000138987	0.000148798	9185.35
27	0.000148798	0.000159395	9185.35
28	0.000159395	0.000170914	6909.89
29	0.000170914	0.000183533	6909.89
30	0.000183533	0.000197481	4551.49
31	0.000197481	0.000213075	4551.49
32	0.000213075	0.000230753	2526.02
33	0.000230753	0.000251161	2526.02
34	0.000251161	0.000275299	1138.68
35	0.000275299	0.000304841	1138.68
36	0.000304841	0.000342928	399.116
37	0.000342928	0.000396607	399.116
38	0.000396607	0.000488374	170.174
39	0.000488374	inf	170.174
