time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	3.02281e-06	14056.9
1	3.02281e-06	6.12414e-06	20421.6
2	6.12414e-06	9.30819e-06	21589
3	9.30819e-06	1.25795e-05	20722.4
4	1.25795e-05	1.59429e-05	17344.5
5	1.59429e-05	1.94039e-05	13994.1
6	1.94039e-05	2.29682e-05	11617.5
7	2.29682e-05	2.66421e-05	10177.9
8	2.66421e-05	3.04328e-05	9432.57
9	3.04328e-05	3.43477e-05	9167.68
10	3.43477e-05	3.83954e-05	9366.63
11	3.83954e-05	4.25851e-05	9366.63
12	4.25851e-05	4.69272e-05	10158.7
13	4.69272e-05	5.14332e-05	10158.7
14	5.14332e-05	5.61159e-05	11220.9
15	5.61159e-05	6.09898e-05	11220.9
16	6.09898e-05	6.60712e-05	12277.3
17	6.60712e-05	7.13785e-05	12277.3
18	7.13785e-05	7.69328e-05	13104.5
19	7.69328e-05	8.2758e-05	13104.5
20	8.2758e-05	8.88822e-05	13490.5
21	8.88822e-05	9.53375e-05	13490.5
22	9.53375e-05	0.000102162	13250.7
23	0.000102162	0.0001094	13250.7
24	0.0001094	0.000117106	12278.4
25	0.000117106	0.000125343	12278.4
26	0.000125343	0.000134191	10584.7
27	0.000134191	0.000143748	10584.7
28	0.000143748	0.000154137	8315.45
29	0.000154137	0.000165516	8315.45
30	0.000165516	0.000178096	5770.41
31	0.000178096	0.000192158	5770.41
32	0.000192158	0.000208101	3395.24
33	0.000208101	0.000226506	3395.24
34	0.000226506	0.000248274	1620.09
35	0.000248274	0.000274916	1620.09
36	0.000274916	0.000309264	596.723
37	0.000309264	0.000357674	596.723
38	0.000357674	0.000440432	253.979
39	0.000440432	inf	253.979
