time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	3.10648e-06	23569.3
1	3.10648e-06	6.29366e-06	65572.3
2	6.29366e-06	9.56585e-06	26215.6
3	9.56585e-06	1.29277e-05	15972.9
4	1.29277e-05	1.63842e-05	12197.3
5	1.63842e-05	1.9941e-05	10252.9
6	1.9941e-05	2.36039e-05	9199.15
7	2.36039e-05	2.73796e-05	8722.69
8	2.73796e-05	3.12752e-05	8646.15
9	3.12752e-05	3.52985e-05	8850.88
10	3.52985e-05	3.94582e-05	9530.55
11	3.94582e-05	4.37639e-05	9530.55
12	4.37639e-05	4.82261e-05	10765.8
13	4.82261e-05	5.28569e-05	10765.8
14	5.28569e-05	5.76692e-05	12102.5
15	5.76692e-05	6.26781e-05	12102.5
16	6.26781e-05	6.79001e-05	13234.2
17	6.79001e-05	7.33543e-05	13234.2
18	7.33543e-05	7.90623e-05	13923.4
19	7.90623e-05	8.50488e-05	13923.4
20	8.50488e-05	9.13425e-05	14002
21	9.13425e-05	9.79765e-05	14002
22	9.79765e-05	0.00010499	13359.4
23	0.00010499	0.000112428	13359.4
24	0.000112428	0.000120347	11954.7
25	0.000120347	0.000128813	11954.7
26	0.000128813	0.000137906	9856.25
27	0.000137906	0.000147727	9856.25
28	0.000147727	0.000158403	7298.9
29	0.000158403	0.000170098	7298.9
30	0.000170098	0.000183025	4700.67
31	0.000183025	0.000197477	4700.67
32	0.000197477	0.000213862	2542.81
33	0.000213862	0.000232776	2542.81
34	0.000232776	0.000255147	1118.56
35	0.000255147	0.000282526	1118.56
36	0.000282526	0.000317825	385.02
37	0.000317825	0.000367575	385.02
38	0.000367575	0.000452624	165.804
39	0.000452624	inf	165.804
