time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	2.99639e-06	20696.4
1	2.99639e-06	6.07063e-06	67285.2
2	6.07063e-06	9.22685e-06	25452.2
3	9.22685e-06	1.24695e-05	16794.9
4	1.24695e-05	1.58036e-05	13615.4
5	1.58036e-05	1.92343e-05	11656.6
6	1.92343e-05	2.27675e-05	10378.1
7	2.27675e-05	2.64093e-05	9662
8	2.64093e-05	3.01668e-05	9383.83
9	3.01668e-05	3.40475e-05	9430.83
10	3.40475e-05	3.80598e-05	9945.38
11	3.80598e-05	4.22129e-05	9945.38
12	4.22129e-05	4.65171e-05	11026.1
13	4.65171e-05	5.09837e-05	11026.1
14	5.09837e-05	5.56255e-05	12226
15	5.56255e-05	6.04568e-05	12226
16	6.04568e-05	6.54938e-05	13224.1
17	6.54938e-05	7.07548e-05	13224.1
18	7.07548e-05	7.62605e-05	13815.3
19	7.62605e-05	8.20348e-05	13815.3
20	8.20348e-05	8.81055e-05	13856.6
21	8.81055e-05	9.45044e-05	13856.6
22	9.45044e-05	0.000101269	13227.8
23	0.000101269	0.000108444	13227.8
24	0.000108444	0.000116082	11861
25	0.000116082	0.000124248	11861
26	0.000124248	0.000133019	9805.6
27	0.000133019	0.000142492	9805.6
28	0.000142492	0.00015279	7288.65
29	0.00015279	0.00016407	7288.65
30	0.00016407	0.000176539	4722.97
31	0.000176539	0.000190479	4722.97
32	0.000190479	0.000206283	2581.15
33	0.000206283	0.000224527	2581.15
34	0.000224527	0.000246104	1152.63
35	0.000246104	0.000272514	1152.63
36	0.000272514	0.000306561	404.277
37	0.000306561	0.000354549	404.277
38	0.000354549	0.000436583	176.119
39	0.000436583	inf	176.119
