time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	2.74579e-06	19357.7
1	2.74579e-06	5.5629e-06	76275.8
2	5.5629e-06	8.45514e-06	33537.8
3	8.45514e-06	1.14266e-05	20138.4
4	1.14266e-05	1.44818e-05	15198.1
5	1.44818e-05	1.76256e-05	12606.7
6	1.76256e-05	2.08633e-05	10995.3
7	2.08633e-05	2.42005e-05	10021.3
8	2.42005e-05	2.76438e-05	9510.17
9	2.76438e-05	3.11999e-05	9334.94
10	3.11999e-05	3.48766e-05	9538.8
11	3.48766e-05	3.86824e-05	9538.8
12	3.86824e-05	4.26266e-05	10299
13	4.26266e-05	4.67196e-05	10299
14	4.67196e-05	5.09732e-05	11368.2
15	5.09732e-05	5.54005e-05	11368.2
16	5.54005e-05	6.00162e-05	12448.3
17	6.00162e-05	6.48371e-05	12448.3
18	6.48371e-05	6.98823e-05	13289.1
19	6.98823e-05	7.51737e-05	13289.1
20	7.51737e-05	8.07366e-05	13696.4
21	8.07366e-05	8.66004e-05	13696.4
22	8.66004e-05	9.27994e-05	13503.1
23	9.27994e-05	9.93743e-05	13503.1
24	9.93743e-05	0.000106374	12565.7
25	0.000106374	0.000113856	12565.7
26	0.000113856	0.000121893	10825.9
27	0.000121893	0.000130574	10825.9
28	0.000130574	0.000140011	8412.36
29	0.000140011	0.000150347	8412.36
30	0.000150347	0.000161774	5707.52
31	0.000161774	0.000174548	5707.52
32	0.000174548	0.00018903	3260.23
33	0.00018903	0.000205748	3260.23
34	0.000205748	0.000225521	1509.1
35	0.000225521	0.000249722	1509.1
36	0.000249722	0.000280922	538.241
37	0.000280922	0.000324895	538.241
38	0.000324895	0.000400069	225.419
39	0.000400069	inf	225.419
