time_index	left_time_boundary	right_time_boundary	lambda_00	Ne.high	LeftYears.high	RightYears.high	Left_generations.high	Right_generations.high	Ne.reasonable	LeftYears.reasonable	RightYears.reasonable	Left_generations.reasonable	Right_generations.reasonable	Ne.low	LeftYears.low	RightYears.low	Left_generations.low	Right_generations.low
10	8.3736e-05	9.36038e-05	2791.33	5986.44754367497	27984.8234498203	31282.6719359927	2798.48234498203	3128.26719359927	20722.3184204133	38748.2170843665	43314.4688344515	9687.05427109163	10828.6172086129	57849.8055903206	54086.0530135949	60459.7794147551	27043.0265067975	30229.8897073776
11	9.36038e-05	0.000103818	2791.33	5986.44754367497	31282.6719359927	34696.288345675	3128.26719359927	3469.6288345675	20722.3184204133	43314.4688344515	48041.0146324731	10828.6172086129	12010.2536581183	57849.8055903206	60459.7794147551	67057.2495911603	30229.8897073776	33528.6247955801
12	0.000103818	0.000114403	2804.2	5958.97247774276	34696.288345675	38233.8272323707	3469.6288345675	3823.38272323707	20627.2124229557	48041.0146324731	52939.145398667	12010.2536581183	13234.7863496668	57584.301347418	67057.2495911603	73894.2237856394	33528.6247955801	36947.1118928197
13	0.000114403	0.000125389	2804.2	5958.97247774276	38233.8272323707	41905.3815270554	3823.38272323707	4190.53815270555	20627.2124229557	52939.145398667	58022.8359605383	13234.7863496668	14505.7089901346	57584.301347418	73894.2237856394	80990.2085282513	36947.1118928197	40495.1042641257
14	0.000125389	0.000136805	2853.27	5856.49119154032	41905.3815270554	45720.6431170902	4190.53815270555	4572.06431170902	20272.469509178	58022.8359605383	63305.5058544325	14505.7089901346	15826.3764636081	56593.9773797886	80990.2085282513	88363.9352551454	40495.1042641257	44181.9676275727
15	0.000136805	0.000148687	2853.27	5856.49119154032	45720.6431170902	49691.6433109228	4572.06431170902	4969.16433109228	20272.469509178	63305.5058544325	68803.8138151238	15826.3764636081	17200.9534537809	56593.9773797886	88363.9352551454	96038.6567836102	44181.9676275727	48019.3283918051
16	0.000148687	0.000161075	2926.47	5710.00236533648	49691.6433109228	53831.7502290508	4969.16433109228	5383.17502290508	19765.3928030878	68803.8138151238	74536.2695479165	17200.9534537809	18634.0673869791	55178.3882419534	96038.6567836102	104040.2095773	48019.3283918051	52020.1047886501
17	0.000161075	0.000174013	2926.47	5710.00236533648	53831.7502290508	58155.6688040219	5383.17502290508	5815.56688040219	19765.3928030878	74536.2695479165	80523.2337286457	18634.0673869791	20130.8084321614	55178.3882419534	104040.2095773	112397.013746235	52020.1047886501	56198.5068731173
18	0.000174013	0.000187554	3010.86	5549.9593544988	58155.6688040219	62681.1117954953	5815.56688040219	6268.11117954953	19211.3977655728	80523.2337286457	86789.2317168396	20130.8084321614	21697.3079292099	53631.8187622239	112397.013746235	121143.302604755	56198.5068731173	60571.6513023776
19	0.000187554	0.000201755	3010.86	5549.9593544988	62681.1117954953	67427.1287751802	6268.11117954953	6742.71287751802	19211.3977655728	86789.2317168396	93360.6398425572	21697.3079292099	23340.1599606393	53631.8187622239	121143.302604755	130315.893113569	60571.6513023776	65157.9465567847
20	0.000201755	0.000216685	3094.89	5399.27125748775	67427.1287751802	72416.7797509352	6742.71287751802	7241.67797509352	18689.785122073	93360.6398425572	100269.387347449	23340.1599606393	25067.3468368622	52175.6501324536	130315.893113569	139959.35317248	65157.9465567847	69979.6765862402
21	0.000216685	0.000232423	3094.89	5399.27125748775	72416.7797509352	77676.466760743	7241.67797509352	7767.6466760743	18689.785122073	100269.387347449	107552.03089949	25067.3468368622	26888.0077248726	52175.6501324536	139959.35317248	150124.709797205	69979.6765862402	75062.3548986026
22	0.000232423	0.00024906	3164.77	5280.05214346896	77676.466760743	83236.602278736	7767.6466760743	8323.6602278736	18277.1035735464	107552.03089949	115250.68007825	26888.0077248726	28812.6700195625	51023.5808094836	150124.709797205	160870.740942557	75062.3548986026	80435.3704712785
