time_index	left_time_boundary	right_time_boundary	lambda_00	Ne.high	LeftYears.high	RightYears.high	Left_generations.high	Right_generations.high	Ne.reasonable	LeftYears.reasonable	RightYears.reasonable	Left_generations.reasonable	Right_generations.reasonable	Ne.low	LeftYears.low	RightYears.low	Left_generations.low	Right_generations.low
17	6.2227e-05	6.72255e-05	13304	1256.02455066794	20796.4508552112	22466.9646129012	2079.64508552112	2246.69646129012	4347.77729077363	28795.0857995232	31108.1048486324	7198.7714498808	7777.0262121581	12137.544936743	40193.1405951678	43421.7296845494	20096.5702975839	21710.8648422747
18	6.72255e-05	7.24566e-05	14087.8	1186.14337384732	22466.9646129012	24215.2139912851	2246.69646129012	2421.52139912851	4105.88090947148	31108.1048486324	33528.757834087	7777.0262121581	8382.18945852176	11462.2508722746	43421.7296845494	46800.5578100798	21710.8648422747	23400.2789050399
19	7.24566e-05	7.7943e-05	14087.8	1186.14337384732	24215.2139912851	26048.7853987454	2421.52139912851	2604.87853987454	4105.88090947148	33528.757834087	36067.5490136474	8382.18945852176	9016.88725341185	11462.2508722746	46800.5578100798	50344.2871648828	23400.2789050399	25172.1435824414
20	7.7943e-05	8.37108e-05	14331.5	1165.97359816392	26048.7853987454	27976.4015339068	2604.87853987454	2797.64015339068	4036.06245518281	36067.5490136474	38736.5559700247	9016.88725341185	9684.13899250618	11267.3410207187	50344.2871648828	54069.7760414928	25172.1435824414	27034.8880207464
21	8.37108e-05	8.97906e-05	14331.5	1165.97359816392	27976.4015339068	30008.2890089499	2797.64015339068	3000.828900895	4036.06245518281	38736.5559700247	41549.9386277768	9684.13899250618	10387.4846569442	11267.3410207187	54069.7760414928	57996.7893346051	27034.8880207464	28998.3946673026
22	8.97906e-05	9.62179e-05	13888.4	1203.17319648673	30008.2890089499	32156.3120308166	3000.828900895	3215.63120308166	4164.83029553097	41549.9386277768	44524.1243503615	10387.4846569442	11131.0310875904	11626.8179083573	57996.7893346051	62148.2569057129	28998.3946673026	31074.1284528564
23	9.62179e-05	0.000103035	13888.4	1203.17319648673	32156.3120308166	34434.6073869331	3215.63120308166	3443.46073869331	4164.83029553097	44524.1243503615	47678.6871511382	11131.0310875904	11919.6717877845	11626.8179083573	62148.2569057129	66551.5008151303	31074.1284528564	33275.7504075652
24	0.000103035	0.000110292	12646.8	1321.29476405781	34434.6073869331	36859.9186482227	3443.46073869331	3685.99186482227	4573.71264481548	47678.6871511382	51036.8104360007	11919.6717877845	12759.2026090002	12768.2811334432	66551.5008151303	71238.8812335842	33275.7504075652	35619.4406167921
25	0.000110292	0.00011805	12646.8	1321.29476405781	36859.9186482227	39452.6656187456	3685.99186482227	3945.26656187456	4573.71264481548	51036.8104360007	54626.7677798016	12759.2026090002	13656.6919449504	12768.2811334432	71238.8812335842	76249.8633593064	35619.4406167921	38124.9316796532
26	0.00011805	0.000126384	10579.7	1579.45410759154	39452.6656187456	42237.913524435	3945.26656187456	4223.7913524435	5467.34114166303	54626.7677798016	58483.2648799869	13656.6919449504	14620.8162199967	15262.994020476	76249.8633593064	81632.8905616483	38124.9316796532	40816.4452808241
27	0.000126384	0.000135384	10579.7	1579.45410759154	42237.913524435	45245.7406364105	4223.7913524435	4524.57406364105	5467.34114166303	58483.2648799869	62647.9485734914	14620.8162199967	15661.9871433729	15262.994020476	81632.8905616483	87446.0948838317	40816.4452808241	43723.0474419159
28	0.000135384	0.000145169	7858.26	2126.44410112242	45245.7406364105	48515.9171131528	4524.57406364105	4851.59171131528	7360.76804234683	62647.9485734914	67175.8852335961	15661.9871433729	16793.971308399	20548.8107848849	87446.0948838317	93766.3398052279	43723.0474419159	46883.1699026139
29	0.000145169	0.000155886	7858.26	2126.44410112242	48515.9171131528	52097.5707974907	4851.59171131528	5209.75707974907	7360.76804234683	67175.8852335961	72135.0980272948	16793.971308399	18033.7745068237	20548.8107848849	93766.3398052279	100688.574329766	46883.1699026139	50344.2871648828
30	0.000155886	0.000167734	4958.72	3369.85161938691	52097.5707974907	56057.2080889003	5209.75707974907	5605.72080889003	11664.8709901854	72135.0980272948	77617.6727384773	18033.7745068237	19404.4181846193	32564.4315142677	100688.574329766	108341.334864125	50344.2871648828	54170.6674320623
31	0.000167734	0.000180978	4958.72	3369.85161938691	56057.2080889003	60483.3927856785	5605.72080889003	6048.33927856785	11664.8709901854	77617.6727384773	83746.2361647856	19404.4181846193	20936.5590411964	32564.4315142677	108341.334864125	116895.787980013	54170.6674320623	58447.8939900066
32	0.000180978	0.000195993	2541.5	6574.91663273116	60483.3927856785	65501.451017491	6048.33927856785	6550.1451017491	22759.3268056079	83746.2361647856	90694.316793449	20936.5590411964	22673.5791983623	63536.4539989886	116895.787980013	126594.150524189	58447.8939900066	63297.0752620946
33	0.000195993	0.000213327	2541.5	6574.91663273116	65501.451017491	71294.5260351559	6550.1451017491	7129.45260351559	22759.3268056079	90694.316793449	98715.4975871388	22673.5791983623	24678.8743967847	63536.4539989886	126594.150524189	137790.382048715	63297.0752620946	68895.1910243573
34	0.000213327	0.000233829	1022.34	16345.0032494926	71294.5260351559	78146.3561962361	7129.45260351559	7814.63561962361	56578.8574020897	98715.4975871388	108202.647040942	24678.8743967847	27050.6617602356	157949.3102475	137790.382048715	151032.861494648	68895.1910243573	75516.4307473242
35	0.000233829	0.000258921	1022.34	16345.0032494926	78146.3561962361	86532.1781844239	7814.63561962361	8653.21781844239	56578.8574020897	108202.647040942	119813.785178433	27050.6617602356	29953.4462946083	157949.3102475	151032.861494648	167240.075144896	75516.4307473242	83620.037572448
36	0.000258921	0.00029127	314.482	53135.4755505442	86532.1781844239	97343.3114339012	8653.21781844239	9734.33114339012	183930.492290345	119813.785178433	134783.046600786	29953.4462946083	33695.7616501966	513472.624310547	167240.075144896	188134.669213597	83620.037572448	94067.3346067987
37	0.00029127	0.000336864	314.482	53135.4755505442	97343.3114339012	112580.963583169	9734.33114339012	11258.0963583169	183930.492290345	134783.046600786	155881.33419208	33695.7616501966	38970.3335480201	513472.624310547	188134.669213597	217584.362309779	94067.3346067987	108792.181154889
38	0.000336864	0.000414807	140.718	118749.204949518	112580.963583169	138629.748981915	11258.0963583169	13862.9748981915	411054.940209869	155881.33419208	191948.883205728	38970.3335480201	47987.220801432	1147528.37475255	217584.362309779	267928.649474662	108792.181154889	133964.324737331
39	0.000414807	Inf	140.718	118749.204949518	138629.748981915	Inf	13862.9748981915	Inf	411054.940209869	191948.883205728	Inf	47987.220801432	Inf	1147528.37475255	267928.649474662	Inf	133964.324737331	Inf
