time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	2.86668e-06	20627.8
1	2.86668e-06	5.80782e-06	79791.1
2	5.80782e-06	8.82741e-06	29395.2
3	8.82741e-06	1.19297e-05	17558.2
4	1.19297e-05	1.51195e-05	13394.6
5	1.51195e-05	1.84016e-05	11380.2
6	1.84016e-05	2.17818e-05	10247.7
7	2.17818e-05	2.5266e-05	9620.87
8	2.5266e-05	2.88609e-05	9352.16
9	2.88609e-05	3.25736e-05	9361.14
10	3.25736e-05	3.64122e-05	9794.68
11	3.64122e-05	4.03855e-05	9794.68
12	4.03855e-05	4.45033e-05	10816
13	4.45033e-05	4.87766e-05	10816
14	4.87766e-05	5.32174e-05	12056.4
15	5.32174e-05	5.78396e-05	12056.4
16	5.78396e-05	6.26585e-05	13148.9
17	6.26585e-05	6.76917e-05	13148.9
18	6.76917e-05	7.29591e-05	13821.1
19	7.29591e-05	7.84835e-05	13821.1
20	7.84835e-05	8.42913e-05	13929
21	8.42913e-05	9.04132e-05	13929
22	9.04132e-05	9.68851e-05	13389.8
23	9.68851e-05	0.00010375	13389.8
24	0.00010375	0.000111057	12144.6
25	0.000111057	0.000118869	12144.6
26	0.000118869	0.00012726	10201.2
27	0.00012726	0.000136323	10201.2
28	0.000136323	0.000146175	7725.43
29	0.000146175	0.000156967	7725.43
30	0.000156967	0.000168897	5100.89
31	0.000168897	0.000182233	5100.89
32	0.000182233	0.000197352	2835.11
33	0.000197352	0.000214807	2835.11
34	0.000214807	0.00023545	1285.07
35	0.00023545	0.000260716	1285.07
36	0.000260716	0.00029329	456.974
37	0.00029329	0.0003392	456.974
38	0.0003392	0.000417683	196.454
39	0.000417683	inf	196.454
