time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	2.93614e-06	23986.3
1	2.93614e-06	5.94856e-06	71962.3
2	5.94856e-06	9.04132e-06	30786.4
3	9.04132e-06	1.22188e-05	18836.3
4	1.22188e-05	1.54858e-05	13885
5	1.54858e-05	1.88476e-05	11291.3
6	1.88476e-05	2.23097e-05	9929.41
7	2.23097e-05	2.58783e-05	9299.8
8	2.58783e-05	2.95602e-05	9129.17
9	2.95602e-05	3.33629e-05	9262.9
10	3.33629e-05	3.72945e-05	9847.77
11	3.72945e-05	4.13641e-05	9847.77
12	4.13641e-05	4.55817e-05	10931
13	4.55817e-05	4.99585e-05	10931
14	4.99585e-05	5.4507e-05	12083.4
15	5.4507e-05	5.92412e-05	12083.4
16	5.92412e-05	6.41769e-05	13067.1
17	6.41769e-05	6.93321e-05	13067.1
18	6.93321e-05	7.4727e-05	13707.8
19	7.4727e-05	8.03853e-05	13707.8
20	8.03853e-05	8.63339e-05	13840.3
21	8.63339e-05	9.26041e-05	13840.3
22	9.26041e-05	9.92329e-05	13303
23	9.92329e-05	0.000106264	13303
24	0.000106264	0.000113748	11981.5
25	0.000113748	0.000121749	11981.5
26	0.000121749	0.000130344	9894.29
27	0.000130344	0.000139627	9894.29
28	0.000139627	0.000149717	7287.8
29	0.000149717	0.000160771	7287.8
30	0.000160771	0.000172989	4643.36
31	0.000172989	0.000186649	4643.36
32	0.000186649	0.000202135	2487.5
33	0.000202135	0.000220012	2487.5
34	0.000220012	0.000241156	1095.02
35	0.000241156	0.000267034	1095.02
36	0.000267034	0.000300397	385.18
37	0.000300397	0.00034742	385.18
38	0.00034742	0.000427805	171.214
39	0.000427805	inf	171.214
