time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	2.98678e-06	18669.3
1	2.98678e-06	6.05114e-06	71159.3
2	6.05114e-06	9.19723e-06	26026.1
3	9.19723e-06	1.24295e-05	16664.6
4	1.24295e-05	1.57529e-05	13652.5
5	1.57529e-05	1.91726e-05	11803.3
6	1.91726e-05	2.26944e-05	10503.6
7	2.26944e-05	2.63245e-05	9713.2
8	2.63245e-05	3.007e-05	9348.24
9	3.007e-05	3.39382e-05	9309.68
10	3.39382e-05	3.79376e-05	9712.5
11	3.79376e-05	4.20774e-05	9712.5
12	4.20774e-05	4.63678e-05	10704.4
13	4.63678e-05	5.082e-05	10704.4
14	5.082e-05	5.54469e-05	11922.3
15	5.54469e-05	6.02628e-05	11922.3
16	6.02628e-05	6.52836e-05	13020.1
17	6.52836e-05	7.05276e-05	13020.1
18	7.05276e-05	7.60156e-05	13701.1
19	7.60156e-05	8.17715e-05	13701.1
20	8.17715e-05	8.78226e-05	13761.8
21	8.78226e-05	9.4201e-05	13761.8
22	9.4201e-05	0.000100944	13101.8
23	0.000100944	0.000108096	13101.8
24	0.000108096	0.00011571	11716.9
25	0.00011571	0.000123849	11716.9
26	0.000123849	0.000132592	9700.43
27	0.000132592	0.000142034	9700.43
28	0.000142034	0.000152299	7266.91
29	0.000152299	0.000163543	7266.91
30	0.000163543	0.000175972	4774.71
31	0.000175972	0.000189868	4774.71
32	0.000189868	0.00020562	2653.65
33	0.00020562	0.000223806	2653.65
34	0.000223806	0.000245314	1202.1
35	0.000245314	0.000271639	1202.1
36	0.000271639	0.000305577	424.5
37	0.000305577	0.00035341	424.5
38	0.00035341	0.000435182	182.585
39	0.000435182	inf	182.585
